Nº,Razão Social,Nome Fantasia,CNPJ,CNAE Principal,Endereço,Cidade,Estado,País,Email,Telefone,Situação Cadastral
40,Araújo Ltda,- ME Sunt,60.315.248/0001-73,4671-6/00 (Com. atac. insumos agrícolas),"Fazenda Igor Peixoto, 35",Alves da Serra,RJ,Brasil,nogueiramelissa@da.br,31 0001-9922,Ativa
41,Araújo Ltda,- ME Nostrum,95.312.468/0001-28,7020-4/00 (Consultoria empresarial),"Conjunto Oliveira, 751",Farias do Amparo,MG,Brasil,agathaduarte@novaes.com,+55 61 4858-0997,Ativa
42,Freitas Barbosa - EI Ltda,Ltda. Mollitia,18.095.376/0001-92,4671-6/00 (Com. atac. insumos agrícolas),"Praça Emanuel Ramos, 372",Ribeiro das Pedras,CE,Brasil,sarah81@monteiro.com,11 7803 4295,Inativa
43,Nascimento Ltda,e Filhos Animi,48.605.321/0001-46,6619-3/02 (Serviços financeiros),"Morro Cunha, 61",Araújo,PA,Brasil,erezende@pereira.com,+55 (041) 2323-0827,Inativa
44,Gomes Ltda,e Filhos Iusto,16.492.753/0001-00,6619-3/02 (Serviços financeiros),"Parque Lima, 66",Ribeiro do Galho,MA,Brasil,goliveira@da.com,+55 (084) 9981-4926,Ativa
45,Azevedo S/A Ltda,S/A Magni,75.183.246/0001-45,8599-6/04 (Treinamento profissional),"Esplanada Vieira, 9",Araújo,TO,Brasil,elisaoliveira@pires.com,0900 262 7906,Inativa
46,Nunes Ltda. Ltda,S.A. Quae,70.948.236/0001-30,8020-0/01 (Monitoramento de segurança),"Recanto Luiz Miguel da Mata, 68",Jesus,RN,Brasil,ana-vitoriacampos@rocha.br,84 1473-1425,Inativa
47,Cunha e Filhos Ltda,S/A Vel,28.306.749/0001-80,2063-1/00 (Fabricação de cosméticos),"Recanto Monteiro, 11",Dias,PR,Brasil,marcos-vinicius30@moraes.br,+55 31 1496 3562,Inativa
48,Gomes da Paz e Filhos Ltda,- ME Unde,54.681.039/0001-40,1091-1/02 (Fabricação de alimentos),"Fazenda Manuela Moura, 56",Nunes da Mata,AM,Brasil,hgoncalves@da.br,+55 51 2573 1667,Ativa
49,das Neves Ltda,e Filhos Natus,84.712.903/0001-95,1091-1/02 (Fabricação de alimentos),"Passarela Lorenzo Pinto, 1",Carvalho Paulista,DF,Brasil,joao-gabriel12@araujo.net,+55 (061) 0680 2199,Ativa
50,Cardoso Rezende S.A. Ltda,S/A Quasi,96.147.583/0001-57,2063-1/00 (Fabricação de cosméticos),"Aeroporto Ana Júlia da Rocha, 50",Monteiro,RR,Brasil,renan72@fernandes.com,+55 81 0292-6395,Inativa
51,Peixoto Silva - EI Ltda,S/A Ratione,17.943.586/0001-20,8599-6/04 (Treinamento profissional),"Conjunto Amanda Fernandes, 91",Dias dos Dourados,ES,Brasil,camila60@almeida.br,(041) 3634-7723,Ativa
52,Gomes Ltda,Ltda. Ullam,72.198.403/0001-06,6201-5/01 (Desenvolvimento de software),"Área Raul da Cruz, 46",Sales do Oeste,CE,Brasil,ybarros@silveira.net,(061) 2889 9629,Inativa
53,da Rosa Ltda,- EI Nulla,03.742.619/0001-60,4671-6/00 (Com. atac. insumos agrícolas),Conjunto Farias,das Neves de Cavalcanti,SP,Brasil,rgomes@sales.net,+55 (031) 5857-6757,Ativa
54,da Conceição S.A. Ltda,S/A Dolor,67.325.041/0001-29,1091-1/02 (Fabricação de alimentos),"Pátio Oliveira, 330",Lima de Nascimento,PI,Brasil,cardosokamilly@alves.net,84 9541 0390,Ativa
55,da Costa Ltda,- ME Facilis,17.469.382/0001-08,1091-1/02 (Fabricação de alimentos),"Fazenda Julia Ferreira, 1",Lopes,RS,Brasil,hcampos@pinto.br,51 0169 2201,Inativa
56,Farias Ltda,S/A Suscipit,49.602.583/0001-10,6201-5/01 (Desenvolvimento de software),"Estrada de Viana, 905",da Cruz,PR,Brasil,ferreirarafael@monteiro.br,+55 (084) 4918 1927,Ativa
57,Silveira S.A. Ltda,Ltda. Consequatur,83.256.190/0001-30,7020-4/00 (Consultoria empresarial),"Praia de Monteiro, 64",da Rosa,PB,Brasil,fernando48@cardoso.br,(041) 5019 0412,Ativa
58,da Paz Ltda,- EI Quod,57.134.960/0001-61,6201-5/01 (Desenvolvimento de software),Quadra de Martins,Gonçalves,ES,Brasil,cgomes@alves.org,+55 11 5584 0382,Ativa
59,Caldeira Ltda,- ME Nihil,43.927.856/0001-10,6201-5/01 (Desenvolvimento de software),Núcleo Joaquim Silveira,Dias,RR,Brasil,bnogueira@cardoso.com,+55 81 7058 6183,Ativa
60,Gomes Ltda,Ltda. Necessitatibus,67.015.428/0001-89,8599-6/04 (Treinamento profissional),"Fazenda Jesus, 92",Viana do Sul,CE,Brasil,milenapeixoto@farias.com,+55 51 8407 3062,Ativa
61,Santos Ltda,- ME Error,68.701.943/0001-85,4930-2/01 (Transporte de cargas),Feira de Novaes,Freitas de Oliveira,MS,Brasil,uferreira@da.net,+55 (084) 0081-7372,Ativa
62,Alves Ltda,- EI Dignissimos,59.862.470/0001-07,1091-1/02 (Fabricação de alimentos),Estrada Lara Novaes,Ribeiro da Mata,PB,Brasil,brunagoncalves@monteiro.br,61 9684 9336,Ativa
63,Ferreira Silva S.A. Ltda,- EI Deserunt,98.726.351/0001-89,6201-5/01 (Desenvolvimento de software),"Avenida de da Mota, 27",da Paz,RN,Brasil,fernandesyasmin@da.com,21 9400 0924,Ativa
64,Novaes Sales e Filhos Ltda,Ltda. Libero,16.950.782/0001-60,8599-6/04 (Treinamento profissional),"Morro Olivia da Rocha, 63",da Luz,PR,Brasil,larissasantos@dias.com,+55 (071) 6902 8164,Ativa
65,da Mota Ltda,e Filhos Assumenda,52.976.831/0001-05,4671-6/00 (Com. atac. insumos agrícolas),"Ladeira Lívia Cardoso, 22",Nunes dos Dourados,PA,Brasil,larapeixoto@correia.br,(021) 1644 1588,Inativa
66,Alves S/A Ltda,- EI Accusantium,21.637.095/0001-29,8599-6/04 (Treinamento profissional),"Chácara Novaes, 430",Araújo do Norte,RN,Brasil,jcostela@oliveira.br,71 0782-8239,Ativa
67,Carvalho Ribeiro Ltda. Ltda,Ltda. Explicabo,36.085.749/0001-26,6201-5/01 (Desenvolvimento de software),"Distrito Sophia da Conceição, 621",Martins,TO,Brasil,rafaelcampos@moura.org,(041) 5778-8115,Inativa
68,Nogueira Ltda,- ME Quis,78.640.192/0001-98,8020-0/01 (Monitoramento de segurança),"Largo de da Conceição, 3",Azevedo,MG,Brasil,camposemanuella@jesus.br,(081) 6959-7853,Ativa
69,Nogueira Ltda. Ltda,Ltda. Quam,03.189.264/0001-23,3511-5/00 (Geração de energia solar),"Alameda de Silveira, 610",Moreira,CE,Brasil,luiz-otavio77@almeida.net,(081) 5207-8264,Ativa
70,da Rosa Ltda,S/A Voluptatum,72.984.635/0001-81,8599-6/04 (Treinamento profissional),"Distrito de Silva, 46",Nascimento da Mata,ES,Brasil,luiz-gustavoduarte@ramos.net,0300-592-5324,Ativa
71,Teixeira Correia - ME Ltda,- ME Enim,25.380.476/0001-26,3511-5/00 (Geração de energia solar),"Ladeira Eduarda da Paz, 66",Barbosa,DF,Brasil,kamillyda-cruz@cardoso.org,21 4765-6010,Inativa
72,da Cruz Ltda,Ltda. Sint,87.493.520/0001-61,4930-2/01 (Transporte de cargas),"Chácara Carvalho, 909",Castro Verde,ES,Brasil,barbosavalentina@lima.br,+55 81 9983 4422,Ativa
73,Cunha Costela S.A. Ltda,Ltda. Possimus,42.910.635/0001-76,6201-5/01 (Desenvolvimento de software),"Alameda de Monteiro, 572",Freitas,SE,Brasil,andreda-conceicao@almeida.com,(084) 8085-3275,Inativa
74,Dias Ltda,e Filhos Tempore,43.128.695/0001-02,6201-5/01 (Desenvolvimento de software),"Favela Murilo Vieira, 31",Correia Verde,RS,Brasil,silveiraguilherme@da.br,+55 71 8321-4756,Ativa
75,Monteiro - ME Ltda,e Filhos Molestiae,82.950.734/0001-04,4930-2/01 (Transporte de cargas),"Pátio de da Rocha, 73",Castro,PI,Brasil,gcosta@da.com,+55 (081) 3319-6618,Ativa
76,Souza da Paz S.A. Ltda,- ME Consectetur,31.248.697/0001-48,3511-5/00 (Geração de energia solar),"Jardim de Ribeiro, 605",Azevedo,DF,Brasil,hda-rosa@almeida.br,(071) 1944-6541,Inativa
77,Sales Ltda. Ltda,- EI Soluta,13.289.065/0001-40,2063-1/00 (Fabricação de cosméticos),"Vereda de Moura, 91",Lopes de Minas,MS,Brasil,joaogoncalves@nascimento.br,+55 (051) 2714 2839,Ativa
78,Monteiro Ltda,S.A. Reprehenderit,26.451.087/0001-07,8599-6/04 (Treinamento profissional),"Praça de da Luz, 5",Cardoso de Moreira,RS,Brasil,castrocatarina@silveira.com,(061) 4948-6231,Ativa
79,Sales Farias S/A Ltda,S.A. Dicta,92.864.510/0001-25,7020-4/00 (Consultoria empresarial),Colônia Marcelo Rezende,Peixoto do Norte,RR,Brasil,da-conceicaoana-sophia@monteiro.org,81 6043 3192,Ativa
80,Silveira da Rosa - ME Ltda,Ltda. Accusamus,46.257.930/0001-26,1091-1/02 (Fabricação de alimentos),"Praia Fogaça, 54",Moura,BA,Brasil,yaraujo@barros.org,31 9679-9832,Inativa
81,Fogaça S/A Ltda,- ME Voluptatum,43.782.960/0001-63,4671-6/00 (Com. atac. insumos agrícolas),"Ladeira João Felipe Alves, 55",Araújo,PA,Brasil,pedro93@oliveira.com,+55 71 3577 2566,Inativa
82,Moreira Ltda,- EI Corrupti,18.790.532/0001-35,7020-4/00 (Consultoria empresarial),"Passarela Castro, 50",Jesus,GO,Brasil,mendesalexandre@almeida.br,(041) 3359-7482,Ativa
83,Nunes Ltda,S/A Corporis,01.578.294/0001-04,2063-1/00 (Fabricação de cosméticos),"Chácara Emanuel Viana, 440",da Cunha,PB,Brasil,isaacrezende@da.br,0500 086 0114,Inativa
84,Nascimento S.A. Ltda,Ltda. Molestiae,37.519.082/0001-95,8020-0/01 (Monitoramento de segurança),"Morro Eduarda Lopes, 57",Fogaça da Serra,CE,Brasil,beatrizmartins@moura.org,+55 51 0178 2369,Inativa
85,Vieira Ltda,S.A. Aliquid,76.983.205/0001-04,1091-1/02 (Fabricação de alimentos),"Campo Rodrigues, 91",Freitas do Oeste,AP,Brasil,iaragao@mendes.com,+55 (081) 9467-8410,Inativa
86,Monteiro - ME Ltda,e Filhos Neque,63.489.702/0001-09,3511-5/00 (Geração de energia solar),"Lago de Rodrigues, 76",Jesus do Amparo,PI,Brasil,otavio69@monteiro.br,(031) 4135-3609,Ativa
87,da Costa Ltda,S.A. Praesentium,19.240.865/0001-53,6619-3/02 (Serviços financeiros),"Viela de Pinto, 52",Pires da Mata,PI,Brasil,da-cruzbarbara@cavalcanti.org,(041) 4609 4571,Ativa
88,Gonçalves S.A. Ltda,- ME Tempora,48.370.659/0001-66,2063-1/00 (Fabricação de cosméticos),"Núcleo Almeida, 14",Azevedo,RN,Brasil,da-costajuliana@ribeiro.com,+55 (031) 8211 1913,Ativa
89,Rodrigues - ME Ltda,S/A Cum,79.240.183/0001-72,1091-1/02 (Fabricação de alimentos),"Rodovia Francisco Cardoso, 408",Nascimento,MS,Brasil,helena98@lima.net,0300 129 6545,Ativa
90,Aragão Ltda,S/A A,24.351.608/0001-29,6619-3/02 (Serviços financeiros),"Viaduto Fernando Freitas, 12",Monteiro,TO,Brasil,joao18@da.org,(061) 3193 5614,Inativa
91,Moraes Ltda,S/A Tempore,53.608.427/0001-33,7020-4/00 (Consultoria empresarial),"Ladeira Cardoso, 16",Dias da Serra,GO,Brasil,emanuella12@da.com,81 4040 0925,Ativa
92,Nunes Dias - EI Ltda,- EI Eius,08.374.621/0001-47,2063-1/00 (Fabricação de cosméticos),"Alameda Peixoto, 82",Nogueira,SP,Brasil,da-motalaura@oliveira.br,+55 (031) 2667-3412,Inativa
93,Jesus e Filhos Ltda,S.A. Consequuntur,24.937.861/0001-69,8020-0/01 (Monitoramento de segurança),"Praça de Rodrigues, 51",Fernandes Paulista,SC,Brasil,vitor-gabriel98@sales.net,(011) 4600-6814,Inativa
94,Araújo - ME Ltda,e Filhos Molestias,85.743.692/0001-10,1091-1/02 (Fabricação de alimentos),"Alameda de Moraes, 74",das Neves,AM,Brasil,valentinaramos@sales.com,(084) 4758-3058,Ativa
95,Novaes Ltda,- EI Totam,91.487.650/0001-69,3511-5/00 (Geração de energia solar),"Área Araújo, 27",Cunha,RS,Brasil,kcunha@cardoso.org,11 2750 5119,Inativa
96,Lima e Filhos Ltda,Ltda. Repellendus,52.093.648/0001-53,4930-2/01 (Transporte de cargas),"Pátio Fogaça, 86",da Conceição das Pedras,SE,Brasil,sarahpereira@fogaca.br,(061) 5475 3272,Ativa
97,das Neves Ltda,- ME Dolor,18.752.906/0001-28,6201-5/01 (Desenvolvimento de software),"Ladeira Moraes, 2",Martins Alegre,MA,Brasil,sarah03@da.com,84 2731-8410,Ativa
98,Carvalho Ltda,- ME Officiis,72.806.154/0001-86,1091-1/02 (Fabricação de alimentos),"Lago Cardoso, 491",Nunes da Serra,PE,Brasil,wfogaca@da.br,+55 71 2213-8571,Ativa
99,Silveira Ltda,- ME Incidunt,70.291.358/0001-04,8599-6/04 (Treinamento profissional),Praia Pinto,Moreira,SP,Brasil,erickmartins@da.br,11 5978-4409,Ativa
100,Fogaça da Paz - EI Ltda,- EI Voluptatum,14.790.532/0001-84,2063-1/00 (Fabricação de cosméticos),"Vale de Viana, 66",Dias Alegre,PR,Brasil,eloaharaujo@cunha.com,+55 21 8021 0543,Inativa
101,Barros S.A. Ltda,e Filhos Dolorum,56.931.802/0001-70,8020-0/01 (Monitoramento de segurança),"Travessa Almeida, 70",da Paz,AP,Brasil,valentinalopes@goncalves.br,(081) 8675 4847,Inativa
102,Nunes Ltda,e Filhos Iusto,64.015.329/0001-09,6201-5/01 (Desenvolvimento de software),"Viela de Costela, 47",da Mota,AP,Brasil,clara82@rodrigues.net,(021) 2108-0119,Inativa
103,da Conceição da Rocha e Filhos Ltda,Ltda. Maiores,19.638.254/0001-68,8020-0/01 (Monitoramento de segurança),"Travessa de Pires, 341",Castro do Oeste,RR,Brasil,joao-gabrielfogaca@martins.com,(041) 5811-6003,Inativa
104,Pinto Ltda,S.A. Iure,61.503.478/0001-29,6201-5/01 (Desenvolvimento de software),"Avenida Ryan Melo, 91",Ramos do Sul,SE,Brasil,gustavo-henriquemendes@campos.br,+55 81 7406-0712,Ativa
105,Melo Ltda,Ltda. Sequi,27.804.913/0001-17,2063-1/00 (Fabricação de cosméticos),"Lagoa da Luz, 721",Teixeira de Cunha,PA,Brasil,francisco85@cardoso.com,+55 (081) 7306-5459,Ativa
106,Pires Ltda,- EI Amet,47.681.302/0001-36,3511-5/00 (Geração de energia solar),"Passarela de Mendes, 69",da Cruz da Serra,SC,Brasil,joao15@da.org,+55 61 9260-1266,Ativa
107,Cardoso e Filhos Ltda,- EI Expedita,81.325.704/0001-36,2063-1/00 (Fabricação de cosméticos),"Trevo Barros, 44",Sales,AP,Brasil,barrosjuliana@da.net,41 4991-2580,Inativa
108,Lima Ltda,- EI Et,94.083.271/0001-00,6619-3/02 (Serviços financeiros),"Colônia Noah da Costa, 10",Alves das Pedras,ES,Brasil,srezende@da.br,61 1001-2669,Ativa
109,das Neves Vieira S/A Ltda,S/A Animi,69.413.025/0001-13,6201-5/01 (Desenvolvimento de software),"Estrada de Silva, 49",Peixoto,PR,Brasil,da-pazrenan@da.net,+55 11 0314-5542,Inativa
110,Peixoto Freitas S/A Ltda,- ME Culpa,97.263.154/0001-08,1091-1/02 (Fabricação de alimentos),"Vereda de Pires, 950",da Rosa,PE,Brasil,orodrigues@viana.com,+55 (041) 4051-2989,Inativa
111,Viana Peixoto Ltda. Ltda,S/A Maiores,20.357.491/0001-30,2063-1/00 (Fabricação de cosméticos),"Feira Fogaça, 25",Rodrigues da Praia,TO,Brasil,carlos-eduardo41@gomes.net,(081) 3333 6184,Ativa
112,Monteiro Novaes S/A Ltda,- EI Velit,08.659.214/0001-86,4930-2/01 (Transporte de cargas),"Chácara de Cavalcanti, 668",da Conceição,SE,Brasil,gomesnicole@da.br,(021) 3893 1735,Ativa
113,Fogaça Ltda,Ltda. Corporis,27.541.038/0001-28,6619-3/02 (Serviços financeiros),"Largo Larissa Lima, 52",Oliveira,RR,Brasil,rezendejulia@campos.net,(021) 1694 8090,Ativa
114,Oliveira Ltda,- EI Maxime,39.256.047/0001-56,7020-4/00 (Consultoria empresarial),"Lago Moraes, 48",da Costa da Serra,MT,Brasil,sabrinaaragao@da.com,31 5931-8178,Ativa
115,Gomes Ltda,Ltda. Sint,13.058.247/0001-00,4930-2/01 (Transporte de cargas),"Jardim Mirella Campos, 12",Pires,RR,Brasil,sarah54@aragao.br,(061) 3555 6306,Inativa
116,Nunes Ltda,- EI Adipisci,81.503.967/0001-98,1091-1/02 (Fabricação de alimentos),Sítio de Gonçalves,Moreira,ES,Brasil,das-nevesmaria-cecilia@lopes.org,+55 (031) 1746 3270,Ativa
117,Almeida da Cunha - EI Ltda,e Filhos Architecto,15.089.634/0001-30,8599-6/04 (Treinamento profissional),"Núcleo de Teixeira, 97",Farias,BA,Brasil,lucas-gabrielcastro@cavalcanti.com,0900 967 7609,Ativa
118,Silveira Ltda,S.A. Debitis,94.853.701/0001-17,6201-5/01 (Desenvolvimento de software),"Feira de Novaes, 58",Lopes,RJ,Brasil,maria84@porto.com,0900 451 6501,Ativa
119,Cavalcanti Ltda,- EI Eius,90.872.365/0001-07,8599-6/04 (Treinamento profissional),"Residencial Duarte, 58",da Paz das Flores,RN,Brasil,trocha@alves.org,+55 51 5126 7454,Ativa
120,da Mata Vieira - ME Ltda,- ME Facilis,71.859.406/0001-72,8020-0/01 (Monitoramento de segurança),"Núcleo Carlos Eduardo Nogueira, 52",Barbosa de Viana,PE,Brasil,pedro-miguel49@cardoso.br,+55 (031) 7925 9447,Ativa
121,Porto S.A. Ltda,S.A. Laborum,31.096.578/0001-17,3511-5/00 (Geração de energia solar),Aeroporto de Ramos,da Rosa da Serra,PB,Brasil,nuneshelena@ferreira.com,+55 (081) 0468 9415,Inativa
122,Mendes Ltda,Ltda. Iusto,30.974.861/0001-31,7020-4/00 (Consultoria empresarial),Estrada de Correia,Araújo,TO,Brasil,heitor39@viana.br,(021) 2742-0545,Ativa
123,Dias Ltda,- ME Ab,01.247.689/0001-16,2063-1/00 (Fabricação de cosméticos),Esplanada de da Costa,Cunha,BA,Brasil,alicenogueira@moura.br,0300 039 0555,Inativa
124,Moura Ltda. Ltda,S/A Nemo,35.461.872/0001-31,4671-6/00 (Com. atac. insumos agrícolas),"Condomínio de Lopes, 298",Moraes,GO,Brasil,cferreira@novaes.com,(051) 2425 7155,Ativa
125,Moraes Ltda,S.A. Neque,39.248.657/0001-08,3511-5/00 (Geração de energia solar),"Feira de Almeida, 12",Oliveira de Castro,TO,Brasil,nogueiranathan@pinto.net,71 9779 6660,Inativa
126,da Luz Ltda,S.A. Iste,18.794.362/0001-67,4671-6/00 (Com. atac. insumos agrícolas),"Alameda Ana Lopes, 95",Lima,RJ,Brasil,rodriguesmaria@fogaca.com,(011) 9630 3962,Inativa
